filepath,title,year
"Documents/1001 questions and answers on general history_  _   %1896.txt","1001 questions and answers on general history_  _   ",1896
"Documents/1776_ Celebration of the ninety-seventh anniversary of American independence at the _Blumen saele_ in Vienna_ Austria_ July 4th_ 1873_  _   %1873.txt","1776_ Celebration of the ninety-seventh anniversary of American independence at the _Blumen saele_ in Vienna_ Austria_ July 4th_ 1873_  _   ",1873
"Documents/1975 FERMI HIGH SCHOOL CT YEARBOOK   %1975.txt","1975 FERMI HIGH SCHOOL CT YEARBOOK   ",1975
"Documents/1983 FERMI HIGH SCHOOL CT YEARBOOK   %1983.txt","1983 FERMI HIGH SCHOOL CT YEARBOOK   ",1983
"Documents/2001 DC Code_ Volume 1_ 2013 Edition   %2013.txt","2001 DC Code_ Volume 1_ 2013 Edition   ",2013
"Documents/A bibliography of Alberta ornithology _ natural histroy occasional paper no_ 16   %1991.txt","A bibliography of Alberta ornithology _ natural histroy occasional paper no_ 16   ",1991
"Documents/A biographical_ historical and chronological dictionary_ containing accurate accounts of the lives_ characters_ and actions_ of the most eminent perso  %1807.txt","A biographical_ historical and chronological dictionary_ containing accurate accounts of the lives_ characters_ and actions_ of the most eminent perso  ",1807
"Documents/A brief history of epidemic and pestilential diseases_ with the principal phenomena of the physical world_ which precede and accompany them_ ___ By No  %1800.txt","A brief history of epidemic and pestilential diseases_ with the principal phenomena of the physical world_ which precede and accompany them_ ___ By No  ",1800
"Documents/A brief history of the Church of Christ of Latter Day Saints_ ___ 1839   %1839.txt","A brief history of the Church of Christ of Latter Day Saints_ ___ 1839   ",1839
"Documents/A catechetical compend of general history_ sacred and profane _ from the creation of the world_ to the year 1817_ of the Christian era ; In three part  %1818.txt","A catechetical compend of general history_ sacred and profane _ from the creation of the world_ to the year 1817_ of the Christian era ; In three part  ",1818
"Documents/A catechism of the history of Scotland_ from the earliest period to the present time_  _   %1831.txt","A catechism of the history of Scotland_ from the earliest period to the present time_  _   ",1831
"Documents/A catechism of universal history containing a concise account of the most striking events_ from the earliest ages to the present time_ with engraved i  %1831.txt","A catechism of universal history containing a concise account of the most striking events_ from the earliest ages to the present time_ with engraved i  ",1831
"Documents/A catechism on the Ten commandments   %2024.txt","A catechism on the Ten commandments   ",2024
"Documents/A cheap trip to the Great Salt Lake City_ ___ 1864   %1864.txt","A cheap trip to the Great Salt Lake City_ ___ 1864   ",1864
"Documents/A collection of historical and other papers_ by Rev_ Grindall Reynolds_ D_D__ to which are added seven of his sermons_  _   %1896.txt","A collection of historical and other papers_ by Rev_ Grindall Reynolds_ D_D__ to which are added seven of his sermons_  _   ",1896
"Documents/A companion in a visit to Netley Abbey_ to which is annexed_ Netley Abbey; an elegy_ by George Keate_ Esq_ 1800   %1800.txt","A companion in a visit to Netley Abbey_ to which is annexed_ Netley Abbey; an elegy_ by George Keate_ Esq_ 1800   ",1800
"Documents/A compend of history from the earliest times _ comprehending a general view of the present state of the world _ with respect to civilization_ religion  %1826.txt","A compend of history from the earliest times _ comprehending a general view of the present state of the world _ with respect to civilization_ religion  ",1826
"Documents/A compend of history from the earliest times _ comprehending a general view of the present state of the world_ with respect to civilization_ religion_  %1823.txt","A compend of history from the earliest times _ comprehending a general view of the present state of the world_ with respect to civilization_ religion_  ",1823
"Documents/A compend of history _ from the earliest times_ comprehending a general view of the present state of the world_ with respect to civilization_ religion  %1837.txt","A compend of history _ from the earliest times_ comprehending a general view of the present state of the world_ with respect to civilization_ religion  ",1837
"Documents/A compend of history_  _   %1814.txt","A compend of history_  _   ",1814
"Documents/A compend of history_  _   %1821.txt","A compend of history_  _   ",1821
"Documents/A compend of history_  _   %1822.txt","A compend of history_  _   ",1822
"Documents/A compend of history_ from the earliest times _ comprehending a general view of present state of the world_ with respect to civilization_ religion_ an  %1844.txt","A compend of history_ from the earliest times _ comprehending a general view of present state of the world_ with respect to civilization_ religion_ an  ",1844
"Documents/A compend of history_ from the earliest times _ comprehending a general view of the present state of the world with respect to civilization_ religion_  %1821.txt","A compend of history_ from the earliest times _ comprehending a general view of the present state of the world with respect to civilization_ religion_  ",1821
"Documents/A compend of history_ from the earliest times _ comprehending a general view of the present state of the world_ with respect to civilization_ religion  %1831.txt","A compend of history_ from the earliest times _ comprehending a general view of the present state of the world_ with respect to civilization_ religion  ",1831
"Documents/A compend of history_ from the earliest times _ comprehending a general view of the present state of the world_ with respect to civilization_ religion  %1846.txt","A compend of history_ from the earliest times _ comprehending a general view of the present state of the world_ with respect to civilization_ religion  ",1846
"Documents/A compend of history_ from the earliest times; comprehending a general view of the present state of the world with respect to civilization_ religion_   %1825.txt","A compend of history_ from the earliest times; comprehending a general view of the present state of the world with respect to civilization_ religion_   ",1825
"Documents/A compend of history_ from the earliest times; comprehending a general view of the present state of the world_ with respect to civilization_ religion_  %1822.txt","A compend of history_ from the earliest times; comprehending a general view of the present state of the world_ with respect to civilization_ religion_  ",1822
"Documents/A compend of history_ from the earliest times_  _   %1828.txt","A compend of history_ from the earliest times_  _   ",1828
"Documents/A compendious history of the English stage_ from the earliest period to the present time_ Containing a candid analysis of all dramatic writings_ a ___  %1800.txt","A compendious history of the English stage_ from the earliest period to the present time_ Containing a candid analysis of all dramatic writings_ a ___  ",1800
"Documents/A compendium of ancient and modern history_  _   %1845.txt","A compendium of ancient and modern history_  _   ",1845
"Documents/A compendium of ancient and modern history_  _   %1859.txt","A compendium of ancient and modern history_  _   ",1859
"Documents/A complete history of the English stage_  by Mr Dibdin  [pt1]   %1800.txt","A complete history of the English stage_  by Mr Dibdin  [pt1]   ",1800
"Documents/A complete history of the English stage_  by Mr Dibdin  [pt2]   %1800.txt","A complete history of the English stage_  by Mr Dibdin  [pt2]   ",1800
"Documents/A complete history of the English stage_  by Mr Dibdin  [pt3]   %1800.txt","A complete history of the English stage_  by Mr Dibdin  [pt3]   ",1800
